Entity,Code,Year,Annual CO? emissions (tonnes)
EU-28,,1988,4338447234
EU-28,,1989,4396967397
EU-28,,1990,4479328893
EU-28,,1991,4423024482
EU-28,,1992,4278958094
EU-28,,1993,4194973674
EU-28,,1994,4174499726
EU-28,,1995,4221464747
EU-28,,1996,4325073851
EU-28,,1997,4235932265
EU-28,,1998,4228986394
EU-28,,1999,4164147220
EU-28,,2000,4187334052
EU-28,,2001,4259400201
EU-28,,2002,4235814501
EU-28,,2003,4327781747
EU-28,,2004,4337972863
EU-28,,2005,4314639655
EU-28,,2006,4320409661
EU-28,,2007,4274408815
EU-28,,2008,4173862503
EU-28,,2009,3831829410
EU-28,,2010,3951262617
EU-28,,2011,3805961187
EU-28,,2012,3747240906
EU-28,,2013,3659240891
EU-28,,2014,3490383183
EU-28,,2015,3523491826
EU-28,,2016,3503031204
EU-28,,2017,3543683484
